"post_id","content","gold_label","pred_label","pred_class","gold_norm","pred_norm"
119,"Απαίσιο προϊόν, χάλια εξυπηρέτηση. Μην το αγοράσετε! 😡","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
120,"Φρικτική εμπειρία. Καμία επιστροφή χρημάτων — απαράδεκτο.","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
121,"Δεν μου άρεσε, πολύ μέτριο προϊόν.","DISLIKE","Negative","","DISLIKE","DISLIKE"
122,"Απίστευτο! Το λάτρεψα ❤️ Το προτείνω ανεπιφύλακτα!","LOVE","Very Positive","","LOVE","LOVE"
123,"Ανακοίνωση προϊόντος: διαθέσιμο τώρα.","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
124,"Απαίσιο προϊόν, χάλια εξυπηρέτηση. Μην το αγοράσετε! 😡 (#1)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
125,"Φοβερά κακή ποιότητα — απογοήτευση. Απαράδεκτο. (#2)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
126,"Πλήρης απάτη, δεν λειτουργεί. Χάλια εμπειρία. (#3)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
127,"Απολύτως απαίσιο, χάσιμο χρημάτων. 🤬 (#4)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
128,"Τραγική κατάσταση, μηδέποτε αγοράσετε αυτό το προϊόν (#5)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
129,"Απαράδεκτο προϊόν — πέντε φορές χειρότερο από ό,τι περίμενα (#6)","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
130,"Δεν μου άρεσε, πολύ μέτριο προϊόν. (#1)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
131,"Μέτριο, όχι κακό αλλά ούτε καλό. (#2)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
132,"Το προϊόν είναι απλά μέτριο, περιμέναμε καλύτερα. (#3)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
133,"Δεν εντυπωσιάστηκα, όχι για μένα. (#4)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
134,"Δεν μου άρεσε, πολύ μέτριο προϊόν. (#5)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
135,"Μέτριο, όχι κακό αλλά ούτε καλό. (#6)","DISLIKE","Neutral","","DISLIKE","NEUTRAL"
136,"Απίστευτο! Το λάτρεψα ❤️ Το προτείνω ανεπιφύλακτα! (#1)","LOVE","Very Positive","","LOVE","LOVE"
137,"Το αγαπώ — τέλειο προϊόν, εξαιρετική ποιότητα! 😍 (#2)","LOVE","Very Positive","","LOVE","LOVE"
138,"Συγχαρητήρια, εξαιρετική δουλειά, θα το ξανααγοράσω (#3)","LOVE","Very Positive","","LOVE","LOVE"
139,"Το συνιστώ, πολυαγαπημένο! 💯 (#4)","LOVE","Very Positive","","LOVE","LOVE"
140,"Απίστευτο! Το λάτρεψα ❤️ Το προτείνω ανεπιφύλακτα! (#5)","LOVE","Very Positive","","LOVE","LOVE"
141,"Το αγαπώ — τέλειο προϊόν, εξαιρετική ποιότητα! 😍 (#6)","LOVE","Very Positive","","LOVE","LOVE"
142,"Μου αρέσει, καλό value-for-money. (#1)","LIKE","Neutral","","LIKE","NEUTRAL"
143,"Θετικό προϊόν, θα το προτείνω σε φίλους. (#2)","LIKE","Positive","","LIKE","LIKE"
144,"Καλό συνολικά, μερικά μικρά μειονεκτήματα. (#3)","LIKE","Neutral","","LIKE","NEUTRAL"
145,"Μου αρέσει, καλό value-for-money. (#4)","LIKE","Neutral","","LIKE","NEUTRAL"
146,"Θετικό προϊόν, θα το προτείνω σε φίλους. (#5)","LIKE","Positive","","LIKE","LIKE"
147,"Καλό συνολικά, μερικά μικρά μειονεκτήματα. (#6)","LIKE","Neutral","","LIKE","NEUTRAL"
148,"Ανακοίνωση προϊόντος: διαθέσιμο τώρα. (#1)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
149,"Πληροφορίες σχετικά με το προϊόν — διαθέσιμο στις αγορές. (#2)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
150,"Ενημέρωση: νέο προϊόν στο κατάστημα. (#3)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
151,"Ανακοίνωση προϊόντος: διαθέσιμο τώρα. (#4)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
152,"Πληροφορίες σχετικά με το προϊόν — διαθέσιμο στις αγορές. (#5)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
153,"Ενημέρωση: νέο προϊόν στο κατάστημα. (#6)","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
