"post_id","content","gold_label","pred_label","pred_class","gold_norm","pred_norm"
49,"Check out ACME's Summer Promo! Amazing deals for the season 🌞","LOVE","Very Positive","","LOVE","LOVE"
50,"Holiday deals are LIVE! 🎄✨ Don't miss these incredible offers!","LIKE","Positive","","LIKE","LIKE"
51,"Launching the new Beta product! 🚀 This is CRAZY good. Check it out!","LOVE","Very Positive","","LOVE","LOVE"
52,"Talking about Gamma Co today - their solutions are game-changing for the tech industry","LIKE","Positive","","LIKE","LIKE"
53,"Beta launch first impressions! 📸 This product is really impressive","LOVE","Very Positive","","LOVE","LOVE"
54,"Featuring Gamma Co's latest products 👨‍🍳 Quality you can taste and see!","LOVE","Very Positive","","LOVE","LOVE"
55,"Summer promo post from ACME Corp. Check it out!","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
56,"Beta LLC Q2 Marketing content. New product available now.","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
57,"Holiday Sale from ACME! Limited time offer inside!","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
58,"Gamma Co brand awareness video. Check this out.","LIKE","Positive","","LIKE","LIKE"
59,"Beta product launch. What do you think about this?","DISLIKE","Negative","","DISLIKE","DISLIKE"
60,"Gamma Co product demo with more details.","NEUTRAL","Neutral","","NEUTRAL","NEUTRAL"
61,"Summer deals roundup! Here's what ACME Corp is offering this season.","LIKE","Positive","","LIKE","LIKE"
62,"Beta LLC Q2 marketing update. New strategies ahead!","LIKE","Positive","","LIKE","LIKE"
63,"Absolutely terrible product — complete scam. Do NOT buy! 😡","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
64,"Misleading offer, horrible service. Terrible experience. 😡🤬","TERRIBLE","Very Negative","","TERRIBLE","TERRIBLE"
